0.03	60.3
0.04	44.6
0.05	35.1
0.06	28.8
0.07	24.3
0.08	20.9
0.09	18.4
0.1	16.4
0.11	14.8
0.12	13.4
0.13	12.3
0.14	11.3
0.15	10.5
0.16	9.8
0.17	9.2
0.18	8.7
0.19	8.2
0.2	7.8
0.21	7.4
0.22	7.1
0.23	6.8
0.24	6.5
0.25	6.3
0.26	6.1
0.27	6
0.28	6
0.29	6
0.3	6
0.31	6
0.32	6.5
0.33	7.3
0.34	8.4
0.35	10.3
0.35	31.3
0.34	40
0.33	47.2
0.32	53.4
0.31	58.9
0.3	63.7
0.29	68
0.28	71.9
0.27	75.4
0.26	78.5
0.25	81.4
0.24	83.8
0.23	86
0.22	87.8
0.21	89.3
0.2	90.4
0.19	91.2
0.18	91.8
0.17	92.1
0.16	92.1
0.15	92.1
0.14	92.1
0.13	91.5
0.12	90.3
0.11	88.9
0.1	87.5
0.09	86.1
0.08	84.7
0.07	83.4
0.06	78.9
0.05	76
0.04	72.8
0.03	68.9
0.03	60.3
